"","sex","sat_v","sat_m","hs_gpa","fy_gpa","sat_sum"
"754","2",64,66,4,3.38,130
"755","2",53,41,4,3.41,94
"756","2",39,35,2.7,2.85,74
"757","1",48,55,3.8,2.18,103
"758","1",56,65,2.8,2.24,121
"759","1",58,66,2.7,2.48,124
"760","2",48,50,3.8,3.04,98
"761","1",57,62,3,2.84,119
"762","2",59,58,3,2.18,117
"763","1",43,64,2.8,2.12,107
"764","2",49,52,3.6,3.02,101
"765","1",51,56,2.5,2.14,107
"766","2",39,51,3.25,2,90
"767","2",51,41,2.7,1.62,92
"768","2",32,32,2.67,1.92,64
"769","1",45,66,4,3.27,111
"770","1",48,63,3.8,1.94,111
"771","1",43,49,2,1.91,92
"772","2",59,69,3.2,2.37,128
"773","2",46,47,2.5,1.91,93
"774","1",29,50,3.2,1.51,79
"775","2",32,38,3,1.51,70
"776","2",53,56,2.7,3.63,109
"777","2",40,48,3.1,2.24,88
"778","2",42,60,3.5,3.02,102
"779","1",63,68,3,3.25,131
"780","2",49,48,3.75,2.04,97
"781","1",52,65,2.5,3.34,117
"782","1",39,50,2.3,1.19,89
"783","1",51,65,3.75,2.82,116
"784","1",39,43,2.25,1.18,82
"785","1",64,66,4,2.98,130
"786","1",57,58,4,3.37,115
"787","2",53,38,3.5,2.81,91
"788","1",41,56,2.9,1.52,97
"789","2",58,71,3.2,2.75,129
"790","1",36,50,3.9,2.46,86
"791","2",48,43,2.3,1.54,91
"792","2",50,53,4,3.42,103
"793","1",56,65,2.8,2.24,121
"794","2",50,62,3.75,3.94,112
"795","2",43,47,3.4,2.42,90
"796","2",60,68,3.2,2.84,128
"797","2",50,52,3.5,2.56,102
"798","1",51,42,2,1.73,93
"799","1",43,50,3.4,3,93
"800","1",45,66,2.1,2.02,111
"801","2",39,35,2.3,1.62,74
"802","1",45,55,3.5,2.66,100
"803","2",35,60,2.8,2.48,95
"804","1",49,40,3.1,2.52,89
"805","2",35,32,2.7,1.65,67
"806","1",47,55,2.6,2.19,102
"807","1",56,52,3.25,2.56,108
"808","2",45,64,4,4,109
"809","1",48,55,3.8,3.17,103
"810","1",46,57,2.8,2.93,103
"811","1",58,57,2.7,1.69,115
"812","1",50,53,4,2.62,103
"813","1",36,56,3,1.79,92
"814","1",41,49,2.9,2.23,90
"815","2",40,42,4,1.12,82
"816","1",46,48,2.7,1.35,94
"817","1",61,59,3.5,2,120
"818","1",46,50,3.25,3.36,96
"819","2",45,55,3.3,1.62,100
"820","1",55,48,3.7,3.49,103
"821","1",36,36,2.9,1.7,72
"822","1",61,45,2.6,3.24,106
"823","1",47,59,3.9,3.08,106
"824","1",64,71,3.75,2.89,135
"825","2",37,55,4,2.69,92
"826","1",58,50,2.5,1.69,108
"827","2",39,51,2.6,1.15,90
"828","1",57,58,2.1,2.62,115
"829","1",49,65,3.8,1.94,114
"830","2",47,48,3.5,2.88,95
"831","2",62,48,3.2,2.37,110
"832","1",49,55,4,1.17,104
"833","2",68,51,3.4,2.98,119
"834","2",47,47,3.5,3.28,94
"835","2",51,54,3.5,1.89,105
"836","1",49,55,3,2.42,104
"837","2",39,49,3,2.8,88
"838","1",47,47,3.6,3.1,94
"839","2",62,52,2.8,3.23,114
"840","2",45,55,3.25,1.62,100
"841","1",43,59,3.8,2.42,102
"842","1",48,58,4,1.17,106
"843","1",55,52,2.7,0.55,107
"844","1",47,55,3.5,2.88,102
"845","2",44,57,4,3.26,101
"846","2",52,45,2.9,2.6,97
"847","1",55,60,3,3,115
"848","2",47,51,3.4,3,98
"849","2",62,49,3.1,3,111
"850","1",41,59,2.9,3.11,100
"851","1",46,51,2.3,1.91,97
"852","1",49,54,4,3.17,103
"853","1",45,53,3,1.64,98
"854","1",64,66,4,3.31,130
"855","2",50,58,3,1.88,108
"856","1",54,71,3.75,3.63,125
"857","1",58,70,4,3.38,128
"858","1",44,55,3.75,3.2,99
"859","2",41,55,3,2.3,96
"860","2",35,50,2.5,1.75,85
"861","2",47,53,3.4,1.9,100
"862","2",45,61,2.75,2.38,106
"863","2",49,58,3.2,2.35,107
"864","2",35,41,2.8,1.87,76
"865","2",39,53,3.5,3.06,92
"866","1",61,60,2.5,2.15,121
"867","2",63,49,3,2.33,112
"868","2",45,64,4,2.75,109
"869","1",49,48,2.3,1.54,97
"870","2",55,60,3.8,3.17,115
"871","1",56,74,4,3.48,130
"872","2",46,47,2.7,1.87,93
"873","2",41,44,3.3,1.93,85
"874","1",64,59,3.5,3.3,123
"875","1",53,62,4,3.98,115
"876","1",49,59,3,2.59,108
"877","1",48,47,3.1,2.24,95
"878","1",45,47,2.4,1.79,92
"879","2",53,52,3.75,3.34,105
"880","2",34,37,3.5,2.1,71
"881","1",54,44,3,1.35,98
"882","2",44,54,2,2.66,98
"883","1",61,64,2.3,1.7,125
"884","2",43,56,3,2.94,99
"885","2",45,57,3.8,3.4,102
"886","2",49,48,3.75,2.67,97
"887","2",41,56,3.4,2.3,97
"888","2",41,50,2.5,1.63,91
"889","1",62,75,4,3.48,137
"890","1",50,59,3.5,2.61,109
"891","2",55,57,3.8,2.48,112
"892","2",49,44,3.7,2.37,93
"893","1",47,41,2.8,3.27,88
"894","1",55,57,3.4,3.3,112
"895","1",38,55,2.3,1.74,93
"896","2",45,48,2.8,1.7,93
"897","1",41,50,2.3,1.19,91
"898","1",44,50,3.8,3.27,94
"899","2",49,48,3.75,2.65,97
"900","1",49,48,2.7,2.21,97
"901","1",35,40,2.25,1.13,75
"902","2",54,61,4,3.33,115
"903","1",60,60,4,2.47,120
"904","1",39,58,2.7,1.5,97
"905","1",46,60,3.3,3.22,106
"906","2",46,48,3.25,2.35,94
"907","2",67,77,4,3.49,144
"908","1",58,57,4,3.37,115
"909","1",43,50,3.8,2.42,93
"910","2",52,62,3.75,2.37,114
"911","1",47,44,3.5,2,91
"912","2",48,49,3.8,2.93,97
"913","2",48,50,2.8,2.1,98
"914","1",41,66,3.5,2.98,107
"915","1",57,64,2.6,2.67,121
"916","2",45,53,3.5,2.56,98
"917","2",53,67,4,3.89,120
"918","1",41,60,4,1.85,101
"919","2",50,58,3.2,2.63,108
"920","1",49,50,2.7,2.21,99
"921","2",49,52,3.9,2.67,101
"922","1",47,50,3.5,2.88,97
"923","1",64,62,4,3.77,126
"924","1",55,35,2.7,1.84,90
"925","1",49,57,2.8,2.5,106
"926","2",45,48,2,1.91,93
"927","1",51,64,2.5,3.25,115
"928","2",41,38,3.2,2.26,79
"929","2",53,40,3.33,2.81,93
"930","1",64,71,3.5,2.88,135
"931","1",60,66,3.2,2.24,126
"932","1",58,70,4,3.43,128
"933","2",47,43,2.8,2.31,90
"934","2",51,55,2.5,1.79,106
"935","2",35,58,4,3.49,93
"936","1",43,64,3.1,2.39,107
"937","2",46,55,2.7,2.08,101
"938","1",43,49,3.2,2.15,92
"939","1",41,63,2.7,2.49,104
"940","1",52,60,2.5,2.56,112
"941","1",52,67,3.9,3.98,119
"942","1",57,61,3.1,2.67,118
"943","1",57,59,3.3,2.37,116
"944","1",65,60,3.75,2.79,125
"945","2",41,57,2.5,2.44,98
"946","1",68,74,4,3.55,142
"947","2",54,53,3.5,3.11,107
"948","1",56,61,4,3.37,117
"949","2",46,55,2.5,2.64,101
"950","2",43,45,3.2,2.67,88
"951","2",42,53,3,2.36,95
"952","1",60,64,2.5,2.21,124
"953","2",44,54,3.7,3.56,98
"954","1",49,44,3.25,3.06,93
"955","1",49,59,3.5,1.19,108
"956","1",49,57,3.4,2.25,106
"957","2",60,69,4,3.31,129
"958","2",47,51,2.56,1.66,98
"959","2",48,62,2.75,2,110
"960","2",38,40,3,1.52,78
"961","2",48,60,3.75,3.22,108
"962","2",68,54,4,3.57,122
"963","1",39,56,2.9,3.11,95
"964","1",56,74,4,3.48,130
"965","1",35,48,2,1.49,83
"966","1",57,55,3,3,112
"967","1",45,47,3,1.7,92
"968","1",40,50,3.1,2.24,90
"969","1",50,63,3,2.37,113
"970","1",49,44,3,2.37,93
"971","1",42,61,2.8,1.32,103
"972","1",68,74,4,4,142
"973","2",42,60,3.4,2.52,102
"974","1",52,62,2.5,2.72,114
"975","1",43,46,2.8,2.2,89
"976","2",58,57,3,3.13,115
"977","1",45,64,2.9,2.52,109
"978","1",55,57,2.8,2.8,112
"979","1",55,56,3.4,3,111
"980","1",42,50,3.75,1.85,92
"981","1",56,67,4,3.79,123
"982","2",38,40,3.5,2.92,78
"983","1",43,64,2.8,2.12,107
"984","2",47,58,3.3,2.8,105
"985","2",53,41,4,3.37,94
"986","2",41,49,3,2.3,90
"987","1",42,66,2.5,2.72,108
"988","1",52,66,4,3.98,118
"989","2",41,52,4,3.6,93
"990","1",47,45,3.75,2.53,92
"991","1",60,60,3.3,2.67,120
"992","2",48,49,4,2.98,97
"993","2",53,56,3.75,3.34,109
"994","2",47,43,3.7,1.55,90
"995","1",62,71,3.8,4,133
"996","2",43,47,3.5,3.28,90
"997","1",46,54,3.5,2.56,100
"998","2",45,45,2.3,1.79,90
"999","2",44,33,3.5,1.56,77
"1000","2",43,46,3.75,1.69,89
